accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file
SRR35751647	SRP630746	new	PRJNA1338475	SAMN52440870	18RB29	Run 1_1_18RB29	"= ""ddRAD data of Chrysoblephus puniceus: "" & A12"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB29.1.fq.gz	18RB29.2.fq.gz				
SRR35751636	SRP630746	new	PRJNA1338475	SAMN52440871	18RB16	Run 1_1_18RB16	"= ""ddRAD data of Chrysoblephus puniceus: "" & A13"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB16.1.fq.gz	18RB16.2.fq.gz				
SRR35751625	SRP630746	new	PRJNA1338475	SAMN52440872	18RB28	Run 2_2_18RB28	"= ""ddRAD data of Chrysoblephus puniceus: "" & A14"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB28.1.fq.gz	18RB28.2.fq.gz				
SRR35751598	SRP630746	new	PRJNA1338475	SAMN52440873	18RB71	Run 2_2_18RB71	"= ""ddRAD data of Chrysoblephus puniceus: "" & A15"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB71.1.fq.gz	18RB71.2.fq.gz				
SRR35751587	SRP630746	new	PRJNA1338475	SAMN52440874	18RB57	Run 2_2_18RB57	"= ""ddRAD data of Chrysoblephus puniceus: "" & A16"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB57.1.fq.gz	18RB57.2.fq.gz				
SRR35751566	SRP630746	new	PRJNA1338475	SAMN52440875	18RB25	Run 2_2_18RB25	"= ""ddRAD data of Chrysoblephus puniceus: "" & A17"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB25.1.fq.gz	18RB25.2.fq.gz				
SRR35751565	SRP630746	new	PRJNA1338475	SAMN52440876	18RB33	Run 2_2_18RB33	"= ""ddRAD data of Chrysoblephus puniceus: "" & A18"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB33.1.fq.gz	18RB33.2.fq.gz				
SRR35751564	SRP630746	new	PRJNA1338475	SAMN52440877	18RB70	Run 2_2_18RB70	"= ""ddRAD data of Chrysoblephus puniceus: "" & A19"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB70.1.fq.gz	18RB70.2.fq.gz				
SRR35751563	SRP630746	new	PRJNA1338475	SAMN52440878	18RB89	Run 2_2_18RB89	"= ""ddRAD data of Chrysoblephus puniceus: "" & A20"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB89.1.fq.gz	18RB89.2.fq.gz				
SRR35751562	SRP630746	new	PRJNA1338475	SAMN52440879	18RB62	Run 2_2_18RB62	"= ""ddRAD data of Chrysoblephus puniceus: "" & A21"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB62.1.fq.gz	18RB62.2.fq.gz				
SRR35751560	SRP630746	new	PRJNA1338475	SAMN52440880	18RB6	Run 2_2_18RB6	"= ""ddRAD data of Chrysoblephus puniceus: "" & A22"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB6.1.fq.gz	18RB6.2.fq.gz				
SRR35751559	SRP630746	new	PRJNA1338475	SAMN52440881	18RB30	Run 2_2_18RB30	"= ""ddRAD data of Chrysoblephus puniceus: "" & A23"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB30.1.fq.gz	18RB30.2.fq.gz				
SRR35751558	SRP630746	new	PRJNA1338475	SAMN52440882	18RB34	Run 2_2_18RB34	"= ""ddRAD data of Chrysoblephus puniceus: "" & A24"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB34.1.fq.gz	18RB34.2.fq.gz				
SRR35751557	SRP630746	new	PRJNA1338475	SAMN52440883	18RB99	Run 2_2_18RB99	"= ""ddRAD data of Chrysoblephus puniceus: "" & A25"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB99.1.fq.gz	18RB99.2.fq.gz				
SRR35751556	SRP630746	new	PRJNA1338475	SAMN52440884	18RB54	Run 1_3_18RB54	"= ""ddRAD data of Chrysoblephus puniceus: "" & A26"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB54.1.fq.gz	18RB54.2.fq.gz				
SRR35751555	SRP630746	new	PRJNA1338475	SAMN52440885	18RB93	Run 1_3_18RB93	"= ""ddRAD data of Chrysoblephus puniceus: "" & A27"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB93.1.fq.gz	18RB93.2.fq.gz				
SRR35751554	SRP630746	new	PRJNA1338475	SAMN52440886	18RB7	Run 1_3_18RB7	"= ""ddRAD data of Chrysoblephus puniceus: "" & A28"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB7.1.fq.gz	18RB7.2.fq.gz				
SRR35751537	SRP630746	new	PRJNA1338475	SAMN52440887	18RB2	Run 1_3_18RB2	"= ""ddRAD data of Chrysoblephus puniceus: "" & A29"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB2.1.fq.gz	18RB2.2.fq.gz				
SRR35751536	SRP630746	new	PRJNA1338475	SAMN52440888	18RB66	Run 1_3_18RB66	"= ""ddRAD data of Chrysoblephus puniceus: "" & A30"	RAD-Seq	GENOMIC	Restriction Digest	paired	ILLUMINA	Illumina MiSeq	ddRAD data were generated using the quaddRAD approach. Genomic DNA was digested double-digested using restriction enzymes PstI and MspI. Each sample was dual-indexed through ligation with adapters containgin a 6 bp barcode and 4 degenerate bases. After cleaning, samples were combined in pools of 12 samples each and each pool was indexed by PCR with the addition of Illumina adapters. Products were cleaned and size selected and combined equimolarly into two libraries, which were size-selected and then sequenced in two MiSeq runs using v3 150 cycle kits. PCR duplicates were removed using the Stacks 2.68 module clone_filter. Reads were then demulitplexed to sample, using the combination of the two 6 bp barcodes, with Stacks 2.68 process_radtags. The enzyme cutsites were removed and additional filtering was performed using the -c, -r and -q arguments.	fastq	18RB66.1.fq.gz	18RB66.2.fq.gz				
